"nombre","tipo","subtipo","facultad","modalidad","semestres","creditos","costo_semestral_cop","costo_semestral_usd","costo_inscripcion_cop","codigo_snies","titulo_otorgado","acreditacion_nacional","acreditacion_internacional","descripcion","keywords","url"
"Curso en Fundamentos de Nutrición | Universidad de La Sabana","Educación Continua","Curso","Curso: Las plantas","Virtual","","","1350000","","","","","","","Este curso corto te enseña a aplicar estrategias nutricionales basadas en ciencia para mejorar energía, recuperación y desempeño. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/curso-fundamentos-y-estrategias-practicas-de-nutricion-para-deportes-de-resistencia"
"Diplomado en operación de simulación | Universidad de La Sabana","Educación Continua","Diplomado","Curso: Las plantas","Virtual","","","1500000","","","","","","","Los escenarios de simulación clínica o de aprendizaje en entorno controlado, cada día cobran más fuerza como uno de los recursos principales en la formación.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-operacion-y-soporte-de-simulacion-clinica"
"Filosofía","Pregrado","","Facultad de","Presencial","8","144","10309000","2740","130000","90806","Filósofo","Alta Calidad: Resolución No. 016637 del 11 de septiembre de 2023","","El programa de Filosofía de la Universidad de La Sabana está comprometido con la formación de filósofos y filósofas con pensamiento crítico. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/pregrados/filosofia"
"Maestría en Lingüística Panhispánica","Posgrado","Maestría","FACULTAD DE","Virtual","3","48","","2057","150000","103094","Magíster en Lingüística Panhispánica Tipo de Programa Maestría de investigación Modalidad Virtual Las sesiones sincrónic","","equisitos de Admisión Los siguientes documentos son los solicitados por la Universidad de La Sabana","La Maestría en Lingüística Panhispánica ofrece a profesionales interesados en los estudios del lenguaje una experiencia de investigación internacional.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-linguistica-panhispanica"
"Maestría en Teología","Posgrado","Maestría","FACULTAD DE","Presencial","3","40","11237000","2300","150000","109457","","","equisitos de Admisión Los siguientes documentos son los solicitados por la Universidad de La Sabana","La Maestría en Teología busca formar profesionales de cualquier área del conocimiento en el enfoque humanístico y teológico que les permita enriquecer la propia labor académica.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-teologia"
"Maestría en Filosofía","Posgrado","Maestría","","Virtual","3","36","","2305","130000","","Magíster en Filosofía Tipo de Programa Maestría de profundización Modalidad Virtual Este programa se dicta en encuentros","","","La Maestría en Filosofía te desafía a pensar de manera crítica y profunda, brindándote herramientas para analizar, argumentar y tomar decisiones con solidez.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-filosofia"
"Maestría en Teología - Virtual","Posgrado","Maestría","FACULTAD DE","Virtual","3","40","","2100","150000","117653","","","equisitos de Admisión Los siguientes documentos son los solicitados por la Universidad de La Sabana","También se pretende promover la “unidad de vida”; es decir, la coherencia entre el saber y el actuar, siempre a la luz del “materialismo cristiano”, que en armonía con el mundo.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-teologia-virtual"
"Maestría en Desarrollo Sostenible Integral","Posgrado","Maestría","","Virtual","3","36","","2305","130000","","Magíster en Desarrollo Sostenible Integral Tipo de Programa Maestría de profundización Modalidad Virtual Este programa s","","","El programa tiene como misión formar profesionales con una visión holística e interdisciplinaria, capaces de diseñar, implementar y evaluar estrategias sostenibles.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-desarrollo-sostenible-integral"
"Maestría en Humanidades Aplicadas","Posgrado","Maestría","","Virtual","3","36","10209000","","130000","118735","Magíster en Humanidades Aplicadas","","equisitos y con posibilidad de homologación con otros programas, esta maestría ofrece una experiencia accesible y personalizada","La Maestría en Filosofía te desafía a pensar de manera crítica y profunda, brindándote herramientas para analizar, argumentar y tomar decisiones con solidez.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-humanidades-aplicadas"
"Sapientia Senior","Educación Continua","","","Virtual","","","","","","","","","abeth Gilbert, Julia Cameron y Chimananda entre otros","El programa Sapientia Silver Senior es un programa pionero en Colombia, que busca brindar experiencias a personas mayores de 50 años. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/sapientia-senior"
"Curso Historia de la Iglesia","Educación Continua","Curso","FACULTAD DE","Virtual","","","","","","","","","","Tiene como objetivo el estudio y comprensión de los principales periodos de tiempo en la historia de la Iglesia Católica desde los primeros siglos hasta la modernidad.","","https://www.unisabana.edu.co/programas/educacion-continua/curso-historia-de-la-iglesia"
"Diplomado de Religiones del Mundo y Geopolítica Contemporánea","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","","","","","","","","Este programa académico ofrece herramientas para comprender la complejidad del fenómeno religioso en el contexto global cambiante que a todos nos interpela.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-de-religiones-del-mundo-y-geopolitica-contemporanea"
"Diplomado en Historia Social y Cultura del Arte","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","","","","","","","","Mediante clases teóricas con acompañamiento audiovisual permanente, la contextualización histórica y cultural de cada período estudiado. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-historia-social-y-cultura-del-arte"
"Diplomado en Ilustración y Creatividad para la Literatura Infantil","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","","","","","","","","La literatura infantil es una poderosa herramienta para despertar la imaginación, transmitir valores y formar lectores sensibles y críticos desde edades tempranas.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-ilustracion-y-creatividad-para-la-literatura-infantil"
"Diplomado en Cómic y Novela Gráfica","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","","","","","","","","El auge de los superhéroes en el mundo del cine ha traído la atención de la cultura popular al mundo del comic. Al tiempo, obras como Maus y Persépolis.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-comic-y-novela-grafica"
"Curso en Creación de Literatura Infantil: leer y escribir","Educación Continua","Curso","FACULTAD DE","Virtual","","","","","","","","","","Este programa ofrece la posibilidad de obtener herramientas para la construcción del libro infantil de quien lo curse, generando una nueva historia.","","https://www.unisabana.edu.co/programas/educacion-continua/curso-en-creacion-de-literatura-infantil-leer-y-escribir"
"Diplomado en Bioética","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","2200000","","","","","","","Este programa académico ofrece herramientas para comprender la complejidad del fenómeno religioso en el contexto global cambiante que a todos nos interpela.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-bioetica"
"Ciencia de Datos","Pregrado","","FACULTAD DE","Presencial","8","143","18395000","4889","130000","116091","Científico de Datos","","equisitos del plan de estudios","La carrera de Ciencia de Datos de la Universidad de La Sabana, responde a la creciente necesidad de formar profesionales capaces de manejar, transformar, analizar y visualizar grandes cantidades de datos.","","https://www.unisabana.edu.co/programas/pregrados/ciencia-de-datos"
"Ingeniería de Bioproducción","Pregrado","","Facultad de","Presencial","9","161","18395000","4889","130000","110623","Ingeniero de Bioproducción","Acreditación mediante Resolución No","equisitos del nuevo plan de estudios, haga clic en Prerrequisitos","La carrera de Ingeniería de Bioproducción de la Universidad de La Sabana, forma profesionales orientados al diseño de productos y procesos.","","https://www.unisabana.edu.co/programas/pregrados/ingenieria-de-bioproduccion"
"Ingenieria Industrial","Pregrado","","Facultad de","Presencial","9","162","18395000","4889","130000","4112","Ingeniero Industrial","Acreditación mediante Resolución No","equisitos de la educación secundaria, se encuentra interesado en formarse integralmente como persona, como futuro graduado de la Universidad de La Sabana y","La carrera de Ingeniería Industrial de la Universidad de La Sabana forma profesionales orientados al diseño, análisis, gestión y optimización de sistemas de producción y logística tanto en el sector industrial como en el de servicios, contribuyendo al mejoramiento continuo de las organizaciones en escenarios locales o internacionales.","","https://www.unisabana.edu.co/programas/pregrados/ingenieria-industrial"
"Ingeniería de Diseño e Innovación","Pregrado","","Facultad de","Presencial","9","161","18395000","4889","130000","116448","Ingeniero de Diseño e Innovación","","ABET para excelencia internacional","Un ingeniero de diseño e innovación, es un profesional altamente capacitado que combina habilidades creativas, técnicas y éticas para abordar desafíos en el campo del diseño.","","https://www.unisabana.edu.co/programas/pregrados/ingenieria-de-diseno-e-innovacion"
"Ingeniería Química","Pregrado","","FACULTAD DE","Presencial","9","175","18395000","4889","130000","52702","","","equisitos, lo cual facilita que el estudiante organice su plan de estudios con flexibilidad","La carrera de Ingeniería Química de la Universidad de La Sabana busca la solución de problemas relacionados con la transformación de materia y energía, diseñando productos y procesos usando herramientas modernas de simulación, con un enfoque en ingeniería verde.","","https://www.unisabana.edu.co/programas/pregrados/ingenieria-quimica"
"Ingeniería Informática","Pregrado","","FACULTAD DE","Presencial","9","164","18395000","4889","130000","17489","Ingeniero en Informática","Acreditación mediante Resolución No","equisitos de la educación secundaria, está interesado en: explorar las posibilidades que ofrecen las nuevas tecnologías de la información para mejorar la c","El programa de Ingeniería Informática de la Universidad de La Sabana forma profesionales capaces de desarrollar soluciones de tecnología de la información con un enfoque integrador entre las necesidades del negocio y las tecnologías, respondiendo de manera innovadora a los retos y expectativas de los usuarios.","","https://www.unisabana.edu.co/programas/pregrados/ingenieria-informatica"
"Ingeniería Civil","Pregrado","","Relacionados Contacto Información sobre el programa La carrera de","Presencial","9","157","18395000","4889","130000","103613","Ingeniero(a) Civil","","equisitos del nuevo plan de estudios Énfasis: Recursos Hídricos y Ambiente: diseños de estructuras hidráulicas, comprensión avanzada de ríos y costas y tra","La carrera de Ingeniería Civil de la Universidad de La Sabana forma profesionales que aportan en el diseño, gestión y ejecución de proyectos de edificaciones, proyectos viales, proyectos de acueducto y alcantarillado, proyectos de sistemas de transporte, proyectos de renovación urbana, entre otros. El ingeniero civil de la Universidad de La Sabana podrá desempeñarse profesionalmente en cualquiera de las áreas disciplinares, comprendiendo su contexto a nivel nacional o internacional.","ingeniería civil, estudiar ingeniería civil, ingeniería civil unisabana, ingeniería civil colombia, carreras ingeniería, unisabana, universidad de la sabana","https://www.unisabana.edu.co/programas/pregrados/ingenieria-civil"
